"id","slug","title","subTitle","tags","status","best_teams","names_combined"
"19013",dscmeetup4,Building on the first leap,Which building is making claims?,No_Tags,completed,"3133516,4760409,727004,3351980,213493","Andrew Lukyanenko, charmq, Darragh, Kevin Liu, Gaurav Dutta"
"18976",boolean-retrieval-homework-ir-2-itmo-spring-2020,Boolean Retrieval Homework IR 2 ITMO Spring 2020,Boolean model & inverted index,No_Tags,completed,"3823496,1501167,7285387,40584,3441753","Kɔuq Wang, chris, ForcewithMe, XIUQI, YumeNeko"
"19052",predict22x22,Предсказать 22x22,по одному бинарному состоянию размера 22x22 предсказать другое,No_Tags,completed,"1199054,933480,2706866,1742792,4624515","عثمان, Gunes Evitan, Joni Juvonen, mikkojkvaak, tetsuro731"
"19062",dda-p3,Data-Driven Business Analytics,WS 19/20 3. Projekt,No_Tags,completed,"2675447,1424766,37166,213493,2062758","Theo Viel, Psi, Dieter, Pascal Pfeiffer, Darragh"
"19231",landmark-recognition-2020,Google Landmark Recognition 2020,Label famous (and not-so-famous) landmarks in images,"computer vision, image",completed,"708283,2509889,5496678,204232,381412","bestfitting, Weimin Wang, tascj, fireflies, Jackie Lee"
"19079",evohackaton,INT20H Hackathon,Transfer Learning Image Classification,No_Tags,completed,"5813776,1667828,1035112,847605,1394009","Young for you, xuxu_sky, Oct0pus, Sergey Stepanov, AndreyBeyn"
"19629","108-2-dl-app-hw1","108-2 NTUT Building Deep Learning Applications HW1",Classifying Handwritten Letters and Digits in Extended MNIST dataset,No_Tags,completed,"6170956,9575480,6421864,128952,9878745","109999407, 109998421, ndewira, 110598004, Farhan"
"19693",applaideltacom,Applai Delta Competition A,"Learn, Apply, Compete",No_Tags,completed,"933480,2706866,443651,2514988,2320599","عثمان, Gunes Evitan, Gilles Vandewiele, Vic Degraeve, Anil Ozturk"
"19626",osyrak-competition,Osyrak Competition,"667",No_Tags,completed,"5737238,7259869,1889883,7041936,1227363","shimacos, Sceue, cc, van73, Luyi Qiu"
"19237",ell409demopart3,ELL409Assignment Demo Part 3,"11:45- 1:15 | Max submissions 5",No_Tags,completed,"4760409,4359285,4332331,4324554,4379362","VIVEK MUSKAN, Sarat, 2016EE30524, Arshad2108, Gaurav Dutta"
"19772",relevance-prediction-by-user-behaviour-spring-2020,Relevance prediction by user behaviour Spring 2020,Предсказание релевантности документа по пользовательскому поведению,No_Tags,completed,"1562115,2781854,4804850,3974868,1478649","Wojtek Rosa, Alvor, Kamal Das, Isamu, Remek Kinas"
"19990",lyft-motion-prediction-autonomous-vehicles,Lyft Motion Prediction for Autonomous Vehicles,Build motion prediction models for self-driving vehicles,"transportation, automobiles and vehicles, tabular, image",completed,"1794509,1117237,5472400,1945452,2456737","Harshit Sheoran, Zekun, xsong2020, Matthew Wu, hide on bread"
"19726",bas-479-spring-2020-how-many-pickups,BAS 479 Spring 2020 - How many pickups?,What's the best model for predicting the number of UBER pickups?,No_Tags,completed,"6744207,5308849,4952142,4731473,2945649","radioactive, TheDetective, Thejineaswar Guhan, Sanchit Vijay, Amber H Roth"
"19702",covid19-global-forecasting-week-2,COVID19 Global Forecasting (Week 2),Forecast daily COVID-19 spread in regions around world,"tabular, covid19",completed,"113389,37166,88922,1424766,75976","Psi, CPMP, Dieter, Pietro Marinelli, Vopani"
"20069",bbm497-2020-assignment2,bbm497-2020-assignment2,bbm497-2020-assignment2,No_Tags,completed,"1410012,4679687,4760409,3843588,8899439","(⊙﹏⊙), Rib~, Tifo, hyd, Gaurav Dutta"
"20009",open-images-instance-segmentation-rvc-2020,Open Images Instance Segmentation RVC 2020 edition,Outline segmentation masks of objects in images,image,completed,"5879627,8812411,8492969,8108047,9464013","啥都不会鸭, Carl Max, Chen Weizheng, handudu, DYS"
"20043",ubc-mdscl-colx563-qa,COLX 563: Question-Answering system,"In this kaggle, you'll compete to correctly identify the starting index of answer spans in a passage",No_Tags,completed,"1684129,2029256,4712534,3533990,6674022","KS, Nischay Dhankhar, Shivam Gupta, Ayushman Buragohain, CroDoc"
"19991",alaska2-image-steganalysis,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images,No_Tags,completed,"1183664,3691583,1528571,1658108,2781854","Wonho Song, Kamal Das, Bibek, Limerobot, Ducky"
"20112",recognizance1,Recognizance,Machine Learning Event,No_Tags,completed,"6674022,2852238,190923,2062758,6803056","Theo Viel, Optimo, Amed, CroDoc, zh"
"20139",discotest,disco test,test,No_Tags,completed,"6249811,282250,2029256,3514793,2711607","KS, Prateek, Mohammed Rizin V K, tereka, Sonali Priya"
"20082",ykc-cup-1st,YKC-cup-1st,YKC-cup-1st,No_Tags,completed,"317344,854613,73703,715257,2186594","ONODERA, senkin13, yelan, 30CrMnSiA, Silogram"
"20096",stat-380-02-new-species-with-ml-2020,Stat 380-02: New Species with ML 2020,There are three unique species. Can you identify them?,No_Tags,completed,"150865,1035002,909432,458815,795565","Shai, ryches, Ted K, Branden Murray, Laura Fink"
"20159",competetion1,Fraud Detection,detect the credit card is fraud or not.,No_Tags,completed,"3873769,443651,7013214,1829450,5456972","Gilles Vandewiele, Kha Vo, Michael Semenoff, Vincent Schuler, Tarık Karakaş"
"20212",msps-2020-hw9-5,"MSPS 2020, hw9-5",Task 5,No_Tags,completed,"1348567,6674022,1790018,2852238,2062758","Theo Viel, Ulrich G., Amed, Sanyam Bhutani, CroDoc"
"20161",intromlhack,IML - Hackathon,In class Hackathon,No_Tags,completed,"3982638,2033538,3802145,183046,2596066","Dracarys, yukiZ, RB, Ioannis M, Jaideep"
"20211",msps-2020-hw9-4,"MSPS 2020, hw9-4",Task 4,No_Tags,completed,"2761327,2528586,2306210,3944230,2778223","Кожевников Савелий(ШАД), Mikhail Sysak, Alex Ponomarev, Bulat Useinov, Anton Zubochenko"
"20219",digits-classification-with-cnn,Digits classification with CNN,Build a CNN model to classify samples of handwritten digits,No_Tags,completed,"2126876,2514988,1080199,1279632,1441782","taksai, tomo20180402, Tomomu Iwai, A.Sato, Anil Ozturk"
"20230",products-10k,Products-10K,Large-scale Product Recognition Challenge @ ICPR 2020,No_Tags,completed,"8718444,4804850,1760696,4760409,1478649","Isamu, Vladislav Ostankovich, Remek Kinas, Niu Jin, Gaurav Dutta"
"20288",day-enigma-demo,Enigma demo,Day1,No_Tags,completed,"1788308,3847086,7917824,221419,9494633","Mukharbek Organokov, AmbrosM, Daniel FG, Vipin Kumar, Onur koç"
"20274",cmpe-255-hw2,CMPE-255 HW2,Classification,No_Tags,completed,"3012786,6250911,5309,4760409,6279218","Abhishek Thakur, Tsai-Chen, Hsiung, Marília Prata, Gaurav Dutta, Ram Jas"
"20289",lenta-classification-2020,News classification,Классификация текстов Lenta.ru,No_Tags,completed,"1390751,2238756,3197853,7837,2241982","Mikhail Rudkovskiy, moth, Alexey Serov, He, Anil Thomas"
"20331",bnu-esl-2020,BNU ESL 2020,California Housing,No_Tags,completed,"8739243,282250,5309,2781854,769452","Abhishek Thakur, tereka, Gabriel Preda, Kamal Das, Samuel Cortinhas"
"20326",dataquest2020,PASC Data-Quest 2020,Take Me Higher!,No_Tags,completed,"10171,847605,4760409,1458993,4712534","Nischay Dhankhar, dynamic24, Oct0pus, chlxyd, Gaurav Dutta"
"20315",ir-ltr-2020,IR. Learning to Rank,Необходимо посоревноваться в обучении ранжированию.,No_Tags,completed,"1328185,623370,698363,260287,4760409","Takoi, Darek Kłeczek, Mohsin hasan, MPWARE, Gaurav Dutta"
"20533","3c-shared-task-influence","3C Shared Task",Citation Context Classification based on influence,No_Tags,completed,"6674022,381412,3612572,2852238,841938","takuoko, Amed, Loulou, tascj, CroDoc"
"20441",enigmadata2,Engima-2,asafdghj,No_Tags,completed,"7916168,6279218,3047669,4778191,10059922","Ram Jas, ToriTori, Hiro_Oza, Yusuke Ma, room_208"
"20464",sahw2,Sentiment Analysis,"For BANA 275: NATRL LANG PROCESS (39842, 39843)",No_Tags,completed,"4952397,3568693,3092109,3645640,1413386","Toru Ito, Shujiang Tan, MINZ HAN, Panda, Puppy"
"20357",dsua-112-project2,DS-UA 112: Introduction to Data Science,Project 2 -- Spam Classification,No_Tags,completed,"7012897,4097470,3526686,2539794,8498319","Woprime, mkz945, MoujiaLi, Zhikun Xu, abhinavsingh15"
"20667",homl2020titanic,HOML Class Project: Titanic Challenge,Predict whether Titanic passengers survived!,No_Tags,completed,"8651202,853977,396939,4470174,471945","Ahmet Erdem, realsleim, Parag, Ved, stientist"
"20865","11-785-summer-20-homework-2-part-2-verification","11-785-Summer-20-Homework 2 - Verification",This competition is optional makeup for homework 2 verification.,No_Tags,completed,"1690820,4760409,4319449,4364207,4349410","avk, Magesh Kannan, Yuni Kim, Volodymyr, Gaurav Dutta"
"20845",movie-votes-prediction,TMDB Movie Rating Prediction,Predict the average votes for movies,No_Tags,completed,"379255,276462,461304,8507,4760409","Antonio Marin, Pavel Hanchar, F.J.Martinez-de-Pison, Andrés Miguel Torrubia Sáez, Gaurav Dutta"
"20542",pasc-data-quest-20-20,PASC Data-Quest 2.0-2.0,Take Me Higher!,No_Tags,completed,"183046,54836,2560033,2596066,3982638","Dracarys, Giba, RB, Siti Khotijah, Ioannis M"
"20914",iioeconometricsinr2020,UG - IIO -  Econometría en R - 2020,Técnicas de regresión en R,No_Tags,completed,"7352059,11345695,7614312,6856242,6856233","Yalmar Cardenas, MarvinDonis, VictorBorrayo, Marcela Ambrosio, Belati Jagad Bintang Syuhada"
"20927",i2a2-peru-pneumonia-classification,I2A2 Peru - Pneumonia Classification,Classify each chest x-ray between normal and pneumonia,No_Tags,completed,"684758,5438906,5724098,812001,1809120","Tian, paradoxg, sheep, Max2020, Roc"
"20883",technology,人工智能算法挑战赛,just be better!!!,No_Tags,completed,"8026380,1364130,10793475,10717335,5025829","chenfeng, Tingxin, zeroooooo, RolianKlay, Silent"
"20866","11-785-summer-20-homework-4-part-2","11-785-Summer-20-Homework 4",This competition is optional makeup for homework 4.,No_Tags,completed,"991320,1695531,1134767,1212661,1305588","Light, Y.Nakama, DrHB, Iafoss, pao"
"20951",covid19chile,COVID19 Chile,Predice el número de infectados de Coronavirus en Chile,No_Tags,completed,"54836,6468176,2596066,3982638,2033538","Dracarys, Giba, Ioannis M, Jaideep, Slavko Prytula"
"21038",rainyseason,"2020.Spring.AI.Termproject_장마 예측하기","18011762이수민",No_Tags,completed,"9527160,5452590,1581556,1860617,1394009","Dewei Chen, Tiger0, Sergey Stepanov, Alex Z, Kerri"
"20949",lol-prediction,League of Legends Winner Prediction,"2020.Spring.AI_termproject_19011484백지오",No_Tags,completed,"1197382,5531042,999843,1117237,2781854","zhengheng, Kamal Das, Leo Lu, yanqiangmiffy, xsong2020"
"21017",taxi,SejongAI.텀프로젝트.택시비예측,세종대학교 인공지능 텀 프로젝트18011809 엄민지,No_Tags,completed,"2779944,5309,1684129,1212661,4712534","Abhishek Thakur, Nischay Dhankhar, Mr_KnowNothing, Shivam Gupta, Iafoss"
"21325",childpark,SejongAI.텀프로젝트.[어린이대공원역 시간대별 사용인원 예측],세종대학교 인공지능 텀 프로젝트 [17011830]_[백소현],No_Tags,completed,"8273630,4760409,4306089,6011712,7785819","Frank Mollard, Gaurav Dutta, Michael Bryant, Ravi Ramakrishnan, Piyush Kumar"
"21338",predict-seoul-house-price,Predict-Seoul-House-Price,서울 강남구 아파트 매매가 예측하기,No_Tags,completed,"4223880,5834823,8715502,1134767,6661957","Light, qyxs, deeeeeeeplearning, Manyu Li, Orionfit"
"21147",horse-win-rate,SejongAI.텀프로젝트.[Horse Win-Rate],세종대학교 인공지능 텀 프로젝트 18011790_장수명,No_Tags,completed,"1687851,309707,7749553,1522136,1796795","kaggler, YoonSoo, choco, Hwigeon Oh, Sheng-xiang Yuan"
"21328",white-wine-quality-evalutation,Sejong AI.Term Project.[WINE Quality Assessment],세종대학교 인공지능 텀 프로젝트 [18011880]_[박진현],No_Tags,completed,"2908782,373959,4122826,273819,18463","Mathurin Aché, Tensor Girl, jayjay, Faisal Alsrheed, SchopenHacker75"
"21341","2020-ai-termproject-18011817",SejongAI.텀프로젝트.[서울대공원 입장객 수 예측],세종대학교 인공지능 텀 프로젝트 [18011817]_[홍주영],No_Tags,completed,"2711607,1231596,3592111,2029256,178864","KS, Prateek, Jose, Martin Kovacevic Buvinic, Yury Kashnitsky"
"21345",predict-number-of-asthma-patient,predict number of asthma patient,"18011803 지능기전공학부 정지원",No_Tags,completed,"4325824,10172187,4760409,623370,169364","Takoi, Jack (Japan), Stepback, C. Beaud, Gaurav Dutta"
"21347",crime-types,"SejongAI.텀프로젝트.[""범죄유형예측""]",세종대학교 인공지능 텀 프로젝트 [18011863]_[최영민],No_Tags,completed,"2126876,1279632,3845682,282250,1441782","tereka, Ryota, taksai, tomo20180402, A.Sato"
"21392",iris-cmc,IRIS_M Flower Classification,Use modified IRIS to identity flower,No_Tags,completed,"5664737,54836,2545270,317344,4760409","Giba, ONODERA, nvnn, Gaurav Dutta, masatoshi hiraki"
"21572",miia4201-202019-p3-moviegenreclassification,MIIA4201 - MOVIE GENRE CLASSIFICATION,MOVIE GENRE CLASSIFICATION,No_Tags,completed,"4712534,10172187,18463,278167,1865449","Mathurin Aché, Nischay Dhankhar, Phaedrus, Jacopo Repossi, C. Beaud"
"21434",curso-r-introduo-ao-machine-learning-com-r,Curso-R - Introdução ao Machine Learning com R,Competição para a entrega final do curso de introdução ao machine learning com R.,No_Tags,completed,"3309826,2560033,3514793,3446939,5196267","Mohammed Rizin V K, Tanay Mehta, Paras Varshney, Ruchi Bhatia, Siti Khotijah"
"21467",ml-final-task,"20 Days of ML Final Task🌠🌠",Predicting the age of abalone from physical measurements,No_Tags,completed,"4760409,617508,6279218,8899439,12424419","tarobxl, hyd, Gaurav Dutta, Ram Jas, TAK"
"21408",summerschool2020,Robot positioning and control challenge,Hackathon Summerschool 2020,No_Tags,completed,"2679105,381412,1670024,841938,1739577","takuoko, ishikei, tascj, fam_taro, Subin An"
"21849",predict-the-diabetes,Predict the Diabetes!,"This competition is hosted by SDS,BIT-Mesra. The participants need to predict the diabetes from the data provided.",No_Tags,completed,"6191256,6279218,241438,11261580,644036","Rob Mulla, Laurent Pourchot, Scirpus, Ram Jas, Kirillka"
"21810",aia-midterm-tp07-cnn,AIA_midterm_tp07_CNN,髮色辨識,No_Tags,completed,"8381693,4956172,178864,727004,4760409","Alin Cijov, Yury Kashnitsky, Andrew Lukyanenko, Gaurav Dutta, Pranav Belhekar"
"21837",dphi-amsterdam-airbnb-data,DPhi Kaggle Challenge,Predict the price of an Airbnb listing,No_Tags,completed,"4760409,3924325,7254125,4122826,6259210","Kirderf, Faisal Alsrheed, Gaurav Dutta, Sergey Saharovskiy, tetsu2131"
"21707",bi-attrition-prediction,员工离职率预测,A simple project for BI & RS,No_Tags,completed,"763858,520183,623370,145393,3133516","Takoi, Yiemon773, charmq, suga93, flowlight"
"21867",ai-academy-randomforest,[ai-academy] Модель случайного леса,Создание модели для прогнозирования цены недвижимости,No_Tags,completed,"3514793,54836,2996192,698363,1565399","Giba, Mohammed Rizin V K, MPWARE, Tom, Sergio Manuel Papadakis"
"21906",datadivingnh,데이터분석과정_NH손해보험_최종평가,청소년 가정환경과 성적의 관계 분석,No_Tags,completed,"6279218,1458993,18463,278167,4760409","Mathurin Aché, Phaedrus, chlxyd, Gaurav Dutta, Ram Jas"
"22032",gender-voice,Gender Voice,Determine male or female based on voice cahrac,No_Tags,completed,"381412,812001,1035002,3924325,2545270","Kirderf, ryches, nvnn, sheep, tascj"
"22048",cis370-fall2020,CIS370-FALL2020,Final Project (Walking Data),No_Tags,completed,"3974868,1478649,494641,1562115,4804850","Wojtek Rosa, Alvor, Isamu, narsil (jobs-in-data.com), Remek Kinas"
"22154","11-785-summer-20-hw2p2-verification2","11-785-Summer-20-hw2p2-Verification2",Summer Competition for hw2p2 Verification(20fall)(version2),No_Tags,completed,"1069377,5834823,8899439,8305527,1410012","(⊙﹏⊙), Ethan, qyxs, hyd, Hiiragi Sakuya"
"22123",mllabgame,Have Fun!,An easy game for you~,No_Tags,completed,"4760409,690886,397595,3930531,18463","Mathurin Aché, ld, nlgn, Makotu, Gaurav Dutta"
"22210",boston20200827,波士頓房價測試20200827,利用波士頓房價資料學習ML,No_Tags,completed,"5016426,6843187,3843588,8002921,9585711","Rib~, chiikawa, TanKaiYi0220, 20011912, KIM JIEUN"
"22091",machine-learning-for-business-classification,Machine Learning For Business Classification,Classification Part of the Project,No_Tags,completed,"2706866,1723677,15222635,18463,4760409","Mathurin Aché, Gunes Evitan, Chris Deotte, Guillermo Gonzalez, Gaurav Dutta"
"22359",widsdatathon2021,WiDS Datathon 2021,Join the Women in Data Science (WiDS) Datathon,No_Tags,completed,"2908782,761268,373959,274051,18463","Mathurin Aché, SeshuRajuP 🧘‍♂️, Tensor Girl, Wenlu, SchopenHacker75"
"22266",ames-housing-competition,Ames Housing Competition,MSDS 410 Fall 2020,No_Tags,completed,"5753671,6294032,4122826,1348567,6294064","Ulrich G., Faisal Alsrheed, Chien-Hsiang Hung, Alien, Vadim Irtlach"
"22422",bms-molecular-translation,Bristol-Myers Squibb – Molecular Translation,Can you translate chemical images to text?,"chemistry, image",completed,"172860,795565,4712534,6279218,1790018","Shai, Nischay Dhankhar, Yassine Alouini, Sanyam Bhutani, Ram Jas"
"22450",desafio-worcap-2020,Desafio WorCAP 2020,Desafio criado com o intuito de praticar Data Science e Machine Learning!,No_Tags,completed,"1070378,727004,4760409,698363,1424766","Dieter, Andrew Lukyanenko, MPWARE, Gaurav Dutta, Caesar Gilang Pratama"
"22512",mercari,IIITB ML Project: Mercari Price Suggestion,InClass competition for AI511 course 2020 at IIIT Bangalore,No_Tags,completed,"1197762,2114620,3489134,534152,2202881","scumed, Ern, StephKua, ShinSiang, Selim Seferbekov"
"22572",logistic-classification-diabetes-knn,logistic classification : diabetes KNN,logistic classification with diabetes data,No_Tags,completed,"3181434,5008380,2505384,4760409,4434233","Gitaek Lee, minnnnji, lunaB, 김소진, Gaurav Dutta"
"22557",ucu-ai2020-regression,AI2020. Housing Price (Broken),Learning application of regression models,No_Tags,completed,"4956172,6294032,1304974,4122826,6294064","Alin Cijov, Faisal Alsrheed, Salim Khazem, Chien-Hsiang Hung, Alien"
"22554",dummy-kc,Dummy Dumy,Everything is dummy,No_Tags,completed,"847605,1478649,4804850,368766,1328185","Darek Kłeczek, Isamu, xksteven, Oct0pus, Remek Kinas"
"22597",a-competition-test,DAYTESTCOMP,How many notifications will you get?,No_Tags,completed,"1562115,11570669,847605,304806,1478649","Alvor, Isamu, Oct0pus, Myles O'Neill, Muhammad Faisal Ali"
"22725",pubg-finish-placement,IIITB ML Project: PUBG Finish Placement Prediction,InClass competition for AI511 course 2020 at IIIT Bangalore,No_Tags,completed,"12309309,10516250,1904629,10801962,15793255","Patrick Yam, Osmond, linqiwei, deanpp, wangxuwang"
"22760",cs-498-dl-assignment-2-3-layer-nn-sgd,CS 498 DL Assignment 2 - 3 layer NN SGD,SGD Portion for 3 Layer NN in Assignment 2,No_Tags,completed,"5811286,3121738,5811265,9853255,5752077","Cakey, SISEP7, Ra1nb0w, Anand Sunderrajan, petarb2"
"22738",weave-titanic,Weave ML Guild - Titanic,Learn some basic machine learning for classification.,No_Tags,completed,"6468176,183046,2234817,3982638,3802145","Dracarys, Doomsday, yukiZ, RB, Slavko Prytula"
"22804",nfl-impact-detection,NFL 1st and Future - Impact Detection,Detect helmet impacts in videos of NFL plays,"football, sports, computer vision, video",completed,"743064,8899439,1069377,534152,2663106","Tim Riggins, Selim Seferbekov, Ethan, hyd, Dmytro Poplavskiy"
"32400",fifa-19011624,FIFA 데이터를 이용한 현실 가치 예측,"19011624 송규민",No_Tags,completed,"37166,799024,769452,1279632,474194","Psi, Gabriel Preda, Rafi Hai, taksai, Gleb Anferov"
"32392",cs-589-fall-21-assignment-4,CS 589 Fall 21 Assignment 4,Assignment 4,No_Tags,completed,"1498852,2852238,1348567,5232246,2062758","Theo Viel, Ulrich G., Amed, kkiller, Raphaël"
"32452",code-ml-2021-challenge-5,Challenge Intact - Code ML 2021 Challenge 5,Challenge Intact - Fact-checking : claim-evidence verdict,No_Tags,completed,"4760409,8899439,3823514,373959,3533990","Tensor Girl, Ayushman Buragohain, hyd, Leonie, Gaurav Dutta"
"32465",int303-big-data-analysis,INT303 Big Data Analysis,Can you predict if a start-up will succeed or fail?,No_Tags,completed,"520183,763858,3133516,1739577,3304580","Yiemon773, ishikei, charmq, suga93, tokkuman"
"32437",gmsc-thebridge-dsft2109,Give me some credit,Predice la probabilidad de que alguien experimente dificultades financieras mejorando un modelo puntero de credit scoring,No_Tags,completed,"698363,1565399,2062758,54836,461723","Giba, Theo Viel, ZFTurbo, MPWARE, Tom"
"32475",covid-19-challenge-umons,Covid-19 Challenge,Détection de Covid-19 à partir d'images radiographiques X-ray (Cours IA Master 1 IG-FPMS-UMONS),No_Tags,completed,"18463,4712534,812001,3533990,4058292","Mathurin Aché, Nischay Dhankhar, sheep, Ayushman Buragohain, Mahmoudi Sidi Ahmed"
"32506","2021aisoftware",소프트웨어 취약점 심각도 분류,"2021 인공지능 텀프로젝트",No_Tags,completed,"75976,2275947,3982638,2596066,54836","Dracarys, Giba, CPMP, Yousef Rabi, Ioannis M"
"32524",kbi-kaggle-titatic-2021,Kaggle Class 2021 - Titanic,한국금융연수원 Kaggle 데이터 분석,No_Tags,completed,"1403936,1973217,623370,3133516,520183","Takoi, Yiemon773, RabotniKuma, charmq, hakubishin3"
"32548",housepricingtg2021,HousePricingTG2021,try to predict house price based on some factors,No_Tags,completed,"217864,5812255,330574,7919134,1658094","Chinta, Miss Qiu, Kain, Erwin, Hassan Abedi"
"32599",demo-mic,Demo-MIC,XXXXXX,No_Tags,completed,"1394009,11809011,5452590,1581556,1667828","Sergey Stepanov, Alex Z, AndreyBeyn, Kerri, SemenB"
"32612",slregression2021,Competencia de regresión 2021,En este espacio se desarrollará la competencia de regresión para el 2021,No_Tags,completed,"8985909,9082496,4760409,7162073,8989314","Gaurav Dutta, Laura Isabella Forero Camacho, Carlos Erazo Navas, Daniela Polanco Ospina, Andres Morales"
"32616",polytech-montpellier-ig5,Polytech Montpellier IG5,Predict ad auctions outcome,No_Tags,completed,"6486101,769452,4760409,135296,8293010","Gabriel Preda, Thierry Neusius, Chahhou Mohamed, Gaurav Dutta, yoyobar"
"32727",tinkoffai-nlp-fs,TinkoffAI-NLP-FS,BertEmbeddings on TPU,No_Tags,completed,"1270704,3843588,8404498,2597628,2276264","过拟合, Kritdikoon Woraitthinan, BigData RPG, Rib~, Premsurawut"
"32657",deeplearning2021food,Deeplearning2021Project,Kyung Hee University Deep Learning Lecture Project Challenge,No_Tags,completed,"7254125,4956172,6279218,7762408,312682","Alin Cijov, JRPC, Ram Jas, tetsu2131, maverick_ss_26"
"33078",pro-lig-aff-task2-pearsonr,Structure-free protein-ligand affinity prediction,Developing new AI models for drug discovery (Task-2 ranking),No_Tags,completed,"5724098,1723677,1069377,5670224,2405813","Chris Deotte, Konstantin Yakovlev, Ethan, Max2020, ADAM."
"33089",ch-315-2021,CH-315 2021,Competition for the ML course of the 2021 version of the CH-315 course,No_Tags,completed,"1522136,1094066,5425251,623370,4760409","Takoi, kaggler, OrKatz, Gaurav Dutta, Ryan Sims"
"33105",tabular-playground-series-may-2022,Tabular Playground Series - May 2022,Practice your ML skills on this approachable dataset!,tabular,completed,"19099,2257109,2706866,4760409,4801400","Gunes Evitan, Somayyeh Gholami, Alexander Ryzhkov, Gaurav Dutta, Gaju Ahmed"
"33106",tabular-playground-series-jun-2022,Tabular Playground Series - Jun 2022,Practice your ML skills on this approachable dataset!,tabular,completed,"10654180,4801400,7300186,1738095,4288268","Wei Hao Khoong, Mehran Kazeminia, Somayyeh Gholami, blue7red, The Devastator"
"33119","110-1-ntut-dl-app-hw3",Stock Price Prediction,Predict the closing price of NASDAQ of the last trading day in 2021,No_Tags,completed,"18463,769452,2579182,64626,1798416","Mathurin Aché, Vitalii Mokin, Mike Kim, Gabriel Preda, 小白Lan"
"33133",ml-2021fall-hw5,ML 2021FALL HW5,"Machine Learning (2021,FALL) HW5-Image Clustering",No_Tags,completed,"54836,1098915,448347,1270655,1120704","Giba, Qishen Ha, Gary, Bo, daishu"
"33177",kmaexam2021,KMAExam2021,exam competition,No_Tags,completed,"282250,1984530,304806,75976,3500520","CPMP, tereka, stallone, Myles O'Neill, Vincent Roseberry"
